concurrency,component,field,value,scope,classification,source
12;16;8;all,effective_decode_server_flags_and_kv_residency_controls,tp_size,8,The startup logs are direct runtime evidence that HiSparse is disabled and that the configured CPU/offload and LMCache paths are disabled. They also record that the decode server forces the KV cache to chunk-cache mode.,Evidence,c8:sweep_67841.log:138-145; c12:sweep_67842.log:138-145; c16:sweep_67843.log:139-146
12;16;8;all,effective_decode_server_flags_and_kv_residency_controls,dp_size,8,The startup logs are direct runtime evidence that HiSparse is disabled and that the configured CPU/offload and LMCache paths are disabled. They also record that the decode server forces the KV cache to chunk-cache mode.,Evidence,c8:sweep_67841.log:138-145; c12:sweep_67842.log:138-145; c16:sweep_67843.log:139-146
12;16;8;all,effective_decode_server_flags_and_kv_residency_controls,enable_dp_attention,True,The startup logs are direct runtime evidence that HiSparse is disabled and that the configured CPU/offload and LMCache paths are disabled. They also record that the decode server forces the KV cache to chunk-cache mode.,Evidence,c8:sweep_67841.log:138-145; c12:sweep_67842.log:138-145; c16:sweep_67843.log:139-146
12;16;8;all,effective_decode_server_flags_and_kv_residency_controls,kv_cache_dtype,fp8_e4m3,The startup logs are direct runtime evidence that HiSparse is disabled and that the configured CPU/offload and LMCache paths are disabled. They also record that the decode server forces the KV cache to chunk-cache mode.,Evidence,c8:sweep_67841.log:138-145; c12:sweep_67842.log:138-145; c16:sweep_67843.log:139-146
12;16;8;all,effective_decode_server_flags_and_kv_residency_controls,page_size,64,The startup logs are direct runtime evidence that HiSparse is disabled and that the configured CPU/offload and LMCache paths are disabled. They also record that the decode server forces the KV cache to chunk-cache mode.,Evidence,c8:sweep_67841.log:138-145; c12:sweep_67842.log:138-145; c16:sweep_67843.log:139-146
12;16;8;all,effective_decode_server_flags_and_kv_residency_controls,context_length,1048576,The startup logs are direct runtime evidence that HiSparse is disabled and that the configured CPU/offload and LMCache paths are disabled. They also record that the decode server forces the KV cache to chunk-cache mode.,Evidence,c8:sweep_67841.log:138-145; c12:sweep_67842.log:138-145; c16:sweep_67843.log:139-146
12;16;8;all,effective_decode_server_flags_and_kv_residency_controls,max_total_tokens,1048576,The startup logs are direct runtime evidence that HiSparse is disabled and that the configured CPU/offload and LMCache paths are disabled. They also record that the decode server forces the KV cache to chunk-cache mode.,Evidence,c8:sweep_67841.log:138-145; c12:sweep_67842.log:138-145; c16:sweep_67843.log:139-146
12;16;8;all,effective_decode_server_flags_and_kv_residency_controls,max_running_requests,200,The startup logs are direct runtime evidence that HiSparse is disabled and that the configured CPU/offload and LMCache paths are disabled. They also record that the decode server forces the KV cache to chunk-cache mode.,Evidence,c8:sweep_67841.log:138-145; c12:sweep_67842.log:138-145; c16:sweep_67843.log:139-146
12;16;8;all,effective_decode_server_flags_and_kv_residency_controls,disable_radix_cache,True,The startup logs are direct runtime evidence that HiSparse is disabled and that the configured CPU/offload and LMCache paths are disabled. They also record that the decode server forces the KV cache to chunk-cache mode.,Evidence,c8:sweep_67841.log:138-145; c12:sweep_67842.log:138-145; c16:sweep_67843.log:139-146
12;16;8;all,effective_decode_server_flags_and_kv_residency_controls,enable_hisparse,False,The startup logs are direct runtime evidence that HiSparse is disabled and that the configured CPU/offload and LMCache paths are disabled. They also record that the decode server forces the KV cache to chunk-cache mode.,Evidence,c8:sweep_67841.log:138-145; c12:sweep_67842.log:138-145; c16:sweep_67843.log:139-146
12;16;8;all,effective_decode_server_flags_and_kv_residency_controls,cpu_offload_gb,0,The startup logs are direct runtime evidence that HiSparse is disabled and that the configured CPU/offload and LMCache paths are disabled. They also record that the decode server forces the KV cache to chunk-cache mode.,Evidence,c8:sweep_67841.log:138-145; c12:sweep_67842.log:138-145; c16:sweep_67843.log:139-146
12;16;8;all,effective_decode_server_flags_and_kv_residency_controls,enable_lmcache,False,The startup logs are direct runtime evidence that HiSparse is disabled and that the configured CPU/offload and LMCache paths are disabled. They also record that the decode server forces the KV cache to chunk-cache mode.,Evidence,c8:sweep_67841.log:138-145; c12:sweep_67842.log:138-145; c16:sweep_67843.log:139-146
12;16;8;all,effective_decode_server_flags_and_kv_residency_controls,disaggregation_decode_enable_offload_kvcache,False,The startup logs are direct runtime evidence that HiSparse is disabled and that the configured CPU/offload and LMCache paths are disabled. They also record that the decode server forces the KV cache to chunk-cache mode.,Evidence,c8:sweep_67841.log:138-145; c12:sweep_67842.log:138-145; c16:sweep_67843.log:139-146
12;16;8;all,effective_decode_server_flags_and_kv_residency_controls,decode_cache_mode_logged,chunk cache,The startup logs are direct runtime evidence that HiSparse is disabled and that the configured CPU/offload and LMCache paths are disabled. They also record that the decode server forces the KV cache to chunk-cache mode.,Evidence,c8:sweep_67841.log:138-145; c12:sweep_67842.log:138-145; c16:sweep_67843.log:139-146
12;16;8,prefill_kv_runtime_allocation,dtype_recorded,torch.float8_e4m3fn,"The allocation records are emitted by individual ATTN_CP/TP ranks in one 8-GPU prefill worker. The scheduler block total is a logical prefill-pool value for that worker, not a global 16-GPU total.",Evidence,c8:worker-9_prefill_w0.out:544-575; c8:worker-9_prefill_w0.out:581; c8:worker-9_prefill_w0.out:691
12;16;8,prefill_kv_runtime_allocation,logical_token_limit,1048576,"The allocation records are emitted by individual ATTN_CP/TP ranks in one 8-GPU prefill worker. The scheduler block total is a logical prefill-pool value for that worker, not a global 16-GPU total.",Evidence,c8:worker-9_prefill_w0.out:544-575; c8:worker-9_prefill_w0.out:581; c8:worker-9_prefill_w0.out:691
12;16;8,prefill_kv_runtime_allocation,scheduler_kv_blocks,16384,"The allocation records are emitted by individual ATTN_CP/TP ranks in one 8-GPU prefill worker. The scheduler block total is a logical prefill-pool value for that worker, not a global 16-GPU total.",Evidence,c8:worker-9_prefill_w0.out:544-575; c8:worker-9_prefill_w0.out:581; c8:worker-9_prefill_w0.out:691
12;16;8,prefill_kv_runtime_allocation,page_size,64,"The allocation records are emitted by individual ATTN_CP/TP ranks in one 8-GPU prefill worker. The scheduler block total is a logical prefill-pool value for that worker, not a global 16-GPU total.",Evidence,c8:worker-9_prefill_w0.out:544-575; c8:worker-9_prefill_w0.out:581; c8:worker-9_prefill_w0.out:691
12;16;8,prefill_kv_runtime_allocation,max_running_requests,32,"The allocation records are emitted by individual ATTN_CP/TP ranks in one 8-GPU prefill worker. The scheduler block total is a logical prefill-pool value for that worker, not a global 16-GPU total.",Evidence,c8:worker-9_prefill_w0.out:544-575; c8:worker-9_prefill_w0.out:581; c8:worker-9_prefill_w0.out:691
12;16;8,prefill_kv_runtime_allocation,observed_primary_rank_allocation_gb,"[6.93, 7.7]","The allocation records are emitted by individual ATTN_CP/TP ranks in one 8-GPU prefill worker. The scheduler block total is a logical prefill-pool value for that worker, not a global 16-GPU total.",Evidence,c8:worker-9_prefill_w0.out:544-575; c8:worker-9_prefill_w0.out:581; c8:worker-9_prefill_w0.out:691
12;16;8,prefill_kv_runtime_allocation,observed_secondary_rank_allocation_gb,0.77,"The allocation records are emitted by individual ATTN_CP/TP ranks in one 8-GPU prefill worker. The scheduler block total is a logical prefill-pool value for that worker, not a global 16-GPU total.",Evidence,c8:worker-9_prefill_w0.out:544-575; c8:worker-9_prefill_w0.out:581; c8:worker-9_prefill_w0.out:691
12;16;8,prefill_kv_runtime_allocation,post_allocation_available_memory_gb_observed_range,"[24.42, 26.44]","The allocation records are emitted by individual ATTN_CP/TP ranks in one 8-GPU prefill worker. The scheduler block total is a logical prefill-pool value for that worker, not a global 16-GPU total.",Evidence,c8:worker-9_prefill_w0.out:544-575; c8:worker-9_prefill_w0.out:581; c8:worker-9_prefill_w0.out:691
12;16;8,decode_kv_runtime_allocation,dtype_recorded,torch.float8_e4m3fn,The values are direct allocation records for each logged DP/TP rank in one decode worker. Two allocation sizes are emitted per rank under DSA; they are retained separately rather than summed or multiplied into a claimed physical cluster total.,Evidence,c8:worker-4_decode_w0.out:528-567; c12:worker-8_decode_w0.out:528-567; c16:worker-8_decode_w0.out:528-567
12;16;8,decode_kv_runtime_allocation,configured_max_total_tokens,1048576,The values are direct allocation records for each logged DP/TP rank in one decode worker. Two allocation sizes are emitted per rank under DSA; they are retained separately rather than summed or multiplied into a claimed physical cluster total.,Evidence,c8:worker-4_decode_w0.out:528-567; c12:worker-8_decode_w0.out:528-567; c16:worker-8_decode_w0.out:528-567
12;16;8,decode_kv_runtime_allocation,runtime_profiled_token_value,218560,The values are direct allocation records for each logged DP/TP rank in one decode worker. Two allocation sizes are emitted per rank under DSA; they are retained separately rather than summed or multiplied into a claimed physical cluster total.,Evidence,c8:worker-4_decode_w0.out:528-567; c12:worker-8_decode_w0.out:528-567; c16:worker-8_decode_w0.out:528-567
12;16;8,decode_kv_runtime_allocation,observed_primary_rank_allocation_gb,12.51,The values are direct allocation records for each logged DP/TP rank in one decode worker. Two allocation sizes are emitted per rank under DSA; they are retained separately rather than summed or multiplied into a claimed physical cluster total.,Evidence,c8:worker-4_decode_w0.out:528-567; c12:worker-8_decode_w0.out:528-567; c16:worker-8_decode_w0.out:528-567
12;16;8,decode_kv_runtime_allocation,observed_secondary_rank_allocation_gb,0.16,The values are direct allocation records for each logged DP/TP rank in one decode worker. Two allocation sizes are emitted per rank under DSA; they are retained separately rather than summed or multiplied into a claimed physical cluster total.,Evidence,c8:worker-4_decode_w0.out:528-567; c12:worker-8_decode_w0.out:528-567; c16:worker-8_decode_w0.out:528-567
12;16;8,decode_kv_runtime_allocation,post_allocation_available_memory_gb_observed_range,"[18.98, 19.38]",The values are direct allocation records for each logged DP/TP rank in one decode worker. Two allocation sizes are emitted per rank under DSA; they are retained separately rather than summed or multiplied into a claimed physical cluster total.,Evidence,c8:worker-4_decode_w0.out:528-567; c12:worker-8_decode_w0.out:528-567; c16:worker-8_decode_w0.out:528-567
12;16;8,mtp_launch_and_runtime_behavior,algorithm,EAGLE,"The acceptance values are sampled decode-batch status lines, not a request-weighted or run-wide acceptance estimate. The server-reported generation throughput in those same status lines is not used as the benchmark's weighted decode TPS.",Evidence,"c8:sweep_67841.log:139, 143; c12:sweep_67842.log:139, 143; c16:sweep_67843.log:140, 144"
12;16;8,mtp_launch_and_runtime_behavior,speculative_num_steps,3,"The acceptance values are sampled decode-batch status lines, not a request-weighted or run-wide acceptance estimate. The server-reported generation throughput in those same status lines is not used as the benchmark's weighted decode TPS.",Evidence,"c8:sweep_67841.log:139, 143; c12:sweep_67842.log:139, 143; c16:sweep_67843.log:140, 144"
12;16;8,mtp_launch_and_runtime_behavior,speculative_eagle_topk,1,"The acceptance values are sampled decode-batch status lines, not a request-weighted or run-wide acceptance estimate. The server-reported generation throughput in those same status lines is not used as the benchmark's weighted decode TPS.",Evidence,"c8:sweep_67841.log:139, 143; c12:sweep_67842.log:139, 143; c16:sweep_67843.log:140, 144"
12;16;8,mtp_launch_and_runtime_behavior,speculative_num_draft_tokens,4,"The acceptance values are sampled decode-batch status lines, not a request-weighted or run-wide acceptance estimate. The server-reported generation throughput in those same status lines is not used as the benchmark's weighted decode TPS.",Evidence,"c8:sweep_67841.log:139, 143; c12:sweep_67842.log:139, 143; c16:sweep_67843.log:140, 144"
12;16;8,mtp_launch_and_runtime_behavior,simulate_acceptance_length,2.99,"The acceptance values are sampled decode-batch status lines, not a request-weighted or run-wide acceptance estimate. The server-reported generation throughput in those same status lines is not used as the benchmark's weighted decode TPS.",Evidence,"c8:sweep_67841.log:139, 143; c12:sweep_67842.log:139, 143; c16:sweep_67843.log:140, 144"
12;16;8,mtp_launch_and_runtime_behavior,simulate_acceptance_method,match-expected,"The acceptance values are sampled decode-batch status lines, not a request-weighted or run-wide acceptance estimate. The server-reported generation throughput in those same status lines is not used as the benchmark's weighted decode TPS.",Evidence,"c8:sweep_67841.log:139, 143; c12:sweep_67842.log:139, 143; c16:sweep_67843.log:140, 144"
12;16;8,mtp_launch_and_runtime_behavior,simulate_acceptance_token_mode,real-draft-token,"The acceptance values are sampled decode-batch status lines, not a request-weighted or run-wide acceptance estimate. The server-reported generation throughput in those same status lines is not used as the benchmark's weighted decode TPS.",Evidence,"c8:sweep_67841.log:139, 143; c12:sweep_67842.log:139, 143; c16:sweep_67843.log:140, 144"
12;16;8,mtp_launch_and_runtime_behavior,runtime_decode_batch_sample_accept_length_range,"[2.98, 3.0]","The acceptance values are sampled decode-batch status lines, not a request-weighted or run-wide acceptance estimate. The server-reported generation throughput in those same status lines is not used as the benchmark's weighted decode TPS.",Evidence,"c8:sweep_67841.log:139, 143; c12:sweep_67842.log:139, 143; c16:sweep_67843.log:140, 144"
12;16;8,mtp_launch_and_runtime_behavior,runtime_decode_batch_sample_accept_rate_range,"[0.66, 0.67]","The acceptance values are sampled decode-batch status lines, not a request-weighted or run-wide acceptance estimate. The server-reported generation throughput in those same status lines is not used as the benchmark's weighted decode TPS.",Evidence,"c8:sweep_67841.log:139, 143; c12:sweep_67842.log:139, 143; c16:sweep_67843.log:140, 144"
12;16;8,dynamic_worker_routing,router,Dynamo KV router,"This is direct evidence of dynamic selection, not an aggregate request-count or balance calculation. Request-level worker distribution should be computed from the canonical request table where available.",Evidence,c8:worker-7_frontend_2.out:148-161; c12:worker-8_frontend_1.out:120-131; c16:worker-9_frontend_0.out:150-167
12;16;8,dynamic_worker_routing,observable_fields,"[""prefill worker ID"", ""decode worker ID"", ""decode dp_rank"", ""effective cached blocks"", ""host_pinned blocks"", ""disk blocks""]","This is direct evidence of dynamic selection, not an aggregate request-count or balance calculation. Request-level worker distribution should be computed from the canonical request table where available.",Evidence,c8:worker-7_frontend_2.out:148-161; c12:worker-8_frontend_1.out:120-131; c16:worker-9_frontend_0.out:150-167
12;16;8,dynamic_worker_routing,routing_behavior,frontend logs select both prefill workers and both decode workers; decode selections span DP ranks,"This is direct evidence of dynamic selection, not an aggregate request-count or balance calculation. Request-level worker distribution should be computed from the canonical request table where available.",Evidence,c8:worker-7_frontend_2.out:148-161; c12:worker-8_frontend_1.out:120-131; c16:worker-9_frontend_0.out:150-167
12;16;8,aiperf_cache_read_telemetry_availability,usage_prompt_tokens_details_cached_tokens_observed,False,"This says the AIPerf benchmark log did not observe the named request-usage cache-read field. It does not prove no prefix reuse, no KV transfer, or no cache activity occurred.",Evidence,c8:benchmark.out:437-438; c12:benchmark.out:447-448; c16:benchmark.out:458-459
12;16;8,aiperf_cache_read_telemetry_availability,aiperf_warning_present,True,"This says the AIPerf benchmark log did not observe the named request-usage cache-read field. It does not prove no prefix reuse, no KV transfer, or no cache activity occurred.",Evidence,c8:benchmark.out:437-438; c12:benchmark.out:447-448; c16:benchmark.out:458-459
12;16;8,aiperf_cache_read_telemetry_availability,enable_cache_report_in_server_args,True,"This says the AIPerf benchmark log did not observe the named request-usage cache-read field. It does not prove no prefix reuse, no KV transfer, or no cache activity occurred.",Evidence,c8:benchmark.out:437-438; c12:benchmark.out:447-448; c16:benchmark.out:458-459
