component,worker,rank,source_file,line_number,raw_log_line_pattern,candidate_metric_name,value,timestamp,metric_scope_interpretation,classification,source_kind,unit,avg,min,max,p50,p90,p95
decode,694d9fdfb4d8ee18,,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,161,Metric=dynamo_component_inflight_requests; Description=Number of requests currently being processed by work handler,dynamo_component_inflight_requests,7.0,,Number of requests currently being processed by work handler,Evidence,aiperf_server_metrics_csv_aggregate,requests,2.1255,0.0,7.0,2.0,4.0,5.0
decode,694d9fdfb4d8ee18,,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,162,Metric=dynamo_component_inflight_requests; Description=Number of requests currently being processed by work handler,dynamo_component_inflight_requests,0.0,,Number of requests currently being processed by work handler,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
decode,694d9fdfb4d8ee18,,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,163,Metric=dynamo_component_inflight_requests; Description=Number of requests currently being processed by work handler,dynamo_component_inflight_requests,0.0,,Number of requests currently being processed by work handler,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
decode,694d9fdfb4d8ee18,,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,164,Metric=dynamo_component_inflight_requests; Description=Number of requests currently being processed by work handler,dynamo_component_inflight_requests,0.0,,Number of requests currently being processed by work handler,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee15,tp_rank=0;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,245,Metric=sglang:full_token_usage; Description=The token usage for full attention layers.,sglang:full_token_usage,0.8749,,The token usage for full attention layers.,Evidence,aiperf_server_metrics_csv_aggregate,,0.0519,0.0,0.8749,0.0,0.192,0.3437
prefill,694d9fdfb4d8ee15,tp_rank=1;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,246,Metric=sglang:full_token_usage; Description=The token usage for full attention layers.,sglang:full_token_usage,0.8749,,The token usage for full attention layers.,Evidence,aiperf_server_metrics_csv_aggregate,,0.0519,0.0,0.8749,0.0,0.192,0.3437
prefill,694d9fdfb4d8ee15,tp_rank=2;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,247,Metric=sglang:full_token_usage; Description=The token usage for full attention layers.,sglang:full_token_usage,0.8749,,The token usage for full attention layers.,Evidence,aiperf_server_metrics_csv_aggregate,,0.0519,0.0,0.8749,0.0,0.192,0.3437
prefill,694d9fdfb4d8ee15,tp_rank=3;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,248,Metric=sglang:full_token_usage; Description=The token usage for full attention layers.,sglang:full_token_usage,0.8749,,The token usage for full attention layers.,Evidence,aiperf_server_metrics_csv_aggregate,,0.0519,0.0,0.8749,0.0,0.192,0.3437
prefill,694d9fdfb4d8ee15,tp_rank=4;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,249,Metric=sglang:full_token_usage; Description=The token usage for full attention layers.,sglang:full_token_usage,0.8749,,The token usage for full attention layers.,Evidence,aiperf_server_metrics_csv_aggregate,,0.0519,0.0,0.8749,0.0,0.192,0.3437
prefill,694d9fdfb4d8ee15,tp_rank=5;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,250,Metric=sglang:full_token_usage; Description=The token usage for full attention layers.,sglang:full_token_usage,0.8749,,The token usage for full attention layers.,Evidence,aiperf_server_metrics_csv_aggregate,,0.0519,0.0,0.8749,0.0,0.192,0.3437
prefill,694d9fdfb4d8ee15,tp_rank=6;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,251,Metric=sglang:full_token_usage; Description=The token usage for full attention layers.,sglang:full_token_usage,0.8749,,The token usage for full attention layers.,Evidence,aiperf_server_metrics_csv_aggregate,,0.0519,0.0,0.8749,0.0,0.192,0.3437
prefill,694d9fdfb4d8ee15,tp_rank=7;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,252,Metric=sglang:full_token_usage; Description=The token usage for full attention layers.,sglang:full_token_usage,0.8749,,The token usage for full attention layers.,Evidence,aiperf_server_metrics_csv_aggregate,,0.0519,0.0,0.8749,0.0,0.192,0.3437
prefill,694d9fdfb4d8ee13,tp_rank=0;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,253,Metric=sglang:full_token_usage; Description=The token usage for full attention layers.,sglang:full_token_usage,0.7377,,The token usage for full attention layers.,Evidence,aiperf_server_metrics_csv_aggregate,,0.0697,0.0,0.7377,0.0,0.25,0.4375
prefill,694d9fdfb4d8ee13,tp_rank=1;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,254,Metric=sglang:full_token_usage; Description=The token usage for full attention layers.,sglang:full_token_usage,0.7377,,The token usage for full attention layers.,Evidence,aiperf_server_metrics_csv_aggregate,,0.0697,0.0,0.7377,0.0,0.25,0.4375
prefill,694d9fdfb4d8ee13,tp_rank=2;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,255,Metric=sglang:full_token_usage; Description=The token usage for full attention layers.,sglang:full_token_usage,0.7377,,The token usage for full attention layers.,Evidence,aiperf_server_metrics_csv_aggregate,,0.0697,0.0,0.7377,0.0,0.25,0.4375
prefill,694d9fdfb4d8ee13,tp_rank=3;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,256,Metric=sglang:full_token_usage; Description=The token usage for full attention layers.,sglang:full_token_usage,0.7377,,The token usage for full attention layers.,Evidence,aiperf_server_metrics_csv_aggregate,,0.0697,0.0,0.7377,0.0,0.25,0.4375
prefill,694d9fdfb4d8ee13,tp_rank=4;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,257,Metric=sglang:full_token_usage; Description=The token usage for full attention layers.,sglang:full_token_usage,0.7377,,The token usage for full attention layers.,Evidence,aiperf_server_metrics_csv_aggregate,,0.0697,0.0,0.7377,0.0,0.25,0.4375
prefill,694d9fdfb4d8ee13,tp_rank=5;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,258,Metric=sglang:full_token_usage; Description=The token usage for full attention layers.,sglang:full_token_usage,0.7377,,The token usage for full attention layers.,Evidence,aiperf_server_metrics_csv_aggregate,,0.0698,0.0,0.7377,0.0,0.25,0.4375
prefill,694d9fdfb4d8ee13,tp_rank=6;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,259,Metric=sglang:full_token_usage; Description=The token usage for full attention layers.,sglang:full_token_usage,0.7377,,The token usage for full attention layers.,Evidence,aiperf_server_metrics_csv_aggregate,,0.0698,0.0,0.7377,0.0,0.25,0.4375
prefill,694d9fdfb4d8ee13,tp_rank=7;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,260,Metric=sglang:full_token_usage; Description=The token usage for full attention layers.,sglang:full_token_usage,0.7377,,The token usage for full attention layers.,Evidence,aiperf_server_metrics_csv_aggregate,,0.0697,0.0,0.7377,0.0,0.25,0.4375
prefill,694d9fdfb4d8ee15,tp_rank=0;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,437,Metric=sglang:num_decode_prealloc_queue_reqs; Description=The number of requests in the decode prealloc queue.,sglang:num_decode_prealloc_queue_reqs,0.0,,The number of requests in the decode prealloc queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee15,tp_rank=1;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,438,Metric=sglang:num_decode_prealloc_queue_reqs; Description=The number of requests in the decode prealloc queue.,sglang:num_decode_prealloc_queue_reqs,0.0,,The number of requests in the decode prealloc queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee15,tp_rank=2;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,439,Metric=sglang:num_decode_prealloc_queue_reqs; Description=The number of requests in the decode prealloc queue.,sglang:num_decode_prealloc_queue_reqs,0.0,,The number of requests in the decode prealloc queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee15,tp_rank=3;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,440,Metric=sglang:num_decode_prealloc_queue_reqs; Description=The number of requests in the decode prealloc queue.,sglang:num_decode_prealloc_queue_reqs,0.0,,The number of requests in the decode prealloc queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee15,tp_rank=4;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,441,Metric=sglang:num_decode_prealloc_queue_reqs; Description=The number of requests in the decode prealloc queue.,sglang:num_decode_prealloc_queue_reqs,0.0,,The number of requests in the decode prealloc queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee15,tp_rank=5;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,442,Metric=sglang:num_decode_prealloc_queue_reqs; Description=The number of requests in the decode prealloc queue.,sglang:num_decode_prealloc_queue_reqs,0.0,,The number of requests in the decode prealloc queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee15,tp_rank=6;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,443,Metric=sglang:num_decode_prealloc_queue_reqs; Description=The number of requests in the decode prealloc queue.,sglang:num_decode_prealloc_queue_reqs,0.0,,The number of requests in the decode prealloc queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee15,tp_rank=7;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,444,Metric=sglang:num_decode_prealloc_queue_reqs; Description=The number of requests in the decode prealloc queue.,sglang:num_decode_prealloc_queue_reqs,0.0,,The number of requests in the decode prealloc queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee13,tp_rank=0;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,445,Metric=sglang:num_decode_prealloc_queue_reqs; Description=The number of requests in the decode prealloc queue.,sglang:num_decode_prealloc_queue_reqs,0.0,,The number of requests in the decode prealloc queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee13,tp_rank=1;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,446,Metric=sglang:num_decode_prealloc_queue_reqs; Description=The number of requests in the decode prealloc queue.,sglang:num_decode_prealloc_queue_reqs,0.0,,The number of requests in the decode prealloc queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee13,tp_rank=2;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,447,Metric=sglang:num_decode_prealloc_queue_reqs; Description=The number of requests in the decode prealloc queue.,sglang:num_decode_prealloc_queue_reqs,0.0,,The number of requests in the decode prealloc queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee13,tp_rank=3;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,448,Metric=sglang:num_decode_prealloc_queue_reqs; Description=The number of requests in the decode prealloc queue.,sglang:num_decode_prealloc_queue_reqs,0.0,,The number of requests in the decode prealloc queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee13,tp_rank=4;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,449,Metric=sglang:num_decode_prealloc_queue_reqs; Description=The number of requests in the decode prealloc queue.,sglang:num_decode_prealloc_queue_reqs,0.0,,The number of requests in the decode prealloc queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee13,tp_rank=5;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,450,Metric=sglang:num_decode_prealloc_queue_reqs; Description=The number of requests in the decode prealloc queue.,sglang:num_decode_prealloc_queue_reqs,0.0,,The number of requests in the decode prealloc queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee13,tp_rank=6;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,451,Metric=sglang:num_decode_prealloc_queue_reqs; Description=The number of requests in the decode prealloc queue.,sglang:num_decode_prealloc_queue_reqs,0.0,,The number of requests in the decode prealloc queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee13,tp_rank=7;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,452,Metric=sglang:num_decode_prealloc_queue_reqs; Description=The number of requests in the decode prealloc queue.,sglang:num_decode_prealloc_queue_reqs,0.0,,The number of requests in the decode prealloc queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee15,tp_rank=0;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,453,Metric=sglang:num_decode_transfer_queue_reqs; Description=The number of requests in the decode transfer queue.,sglang:num_decode_transfer_queue_reqs,0.0,,The number of requests in the decode transfer queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
